Atlantis,Europa,Pandora,Neuronia,Brick
33.25,33.25,33.25,33.25,33.25
33.300000000000004,33.25,33.25,33.25,33.25
33.300000000000004,33.300000000000004,33.25,33.25,33.25
33.300000000000004,33.300000000000004,33.300000000000004,33.25,33.25
33.300000000000004,33.300000000000004,33.300000000000004,33.300000000000004,33.25
33.300000000000004,33.300000000000004,33.300000000000004,33.300000000000004,33.300000000000004
33.349999999999994,33.300000000000004,33.300000000000004,33.300000000000004,33.300000000000004
33.349999999999994,33.349999999999994,33.300000000000004,33.300000000000004,33.300000000000004
33.349999999999994,33.349999999999994,33.349999999999994,33.300000000000004,33.300000000000004
33.349999999999994,33.349999999999994,33.349999999999994,33.349999999999994,33.300000000000004
33.349999999999994,33.349999999999994,33.349999999999994,33.349999999999994,33.349999999999994
33.400000000000006,33.349999999999994,33.349999999999994,33.349999999999994,33.349999999999994
33.400000000000006,33.400000000000006,33.349999999999994,33.349999999999994,33.349999999999994
33.400000000000006,33.400000000000006,33.400000000000006,33.349999999999994,33.349999999999994
33.400000000000006,33.400000000000006,33.400000000000006,33.400000000000006,33.349999999999994
33.400000000000006,33.400000000000006,33.400000000000006,33.400000000000006,33.400000000000006
33.45,33.400000000000006,33.400000000000006,33.400000000000006,33.400000000000006
33.45,33.45,33.400000000000006,33.400000000000006,33.400000000000006
33.45,33.45,33.45,33.400000000000006,33.400000000000006
33.45,33.45,33.45,33.45,33.400000000000006
33.45,33.45,33.45,33.45,33.45
33.5,33.45,33.45,33.45,33.45
33.5,33.5,33.45,33.45,33.45
33.5,33.5,33.5,33.45,33.45
33.5,33.5,33.5,33.5,33.45
33.5,33.5,33.5,33.5,33.5
33.55,33.5,33.5,33.5,33.5
33.55,33.55,33.5,33.5,33.5
33.55,33.55,33.55,33.5,33.5
33.55,33.55,33.55,33.55,33.5
33.55,33.55,33.55,33.55,33.55
33.599999999999994,33.55,33.55,33.55,33.55
33.599999999999994,33.599999999999994,33.55,33.55,33.55
33.599999999999994,33.599999999999994,33.599999999999994,33.55,33.55
33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994,33.55
33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,35.4,33.599999999999994,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,35.4,33.599999999999994,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,35.4,33.599999999999994
31.849999999999998,33.599999999999994,33.599999999999994,33.599999999999994,35.4
33.65,33.599999999999994,33.599999999999994,33.599999999999994,33.599999999999994
